"statistikkvariabel"	"elv"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"	"2023"	"2024"
"Fangst av laks, sj�aure og sj�r�ye (kg)"	"Finnmark i alt"	112876	153417	113964	136004	128839	135656	132862	102208	99228	0	0	0	0	42759
"Fangst av laks, sj�aure og sj�r�ye (kg)"	"Sandlandselva"	86	76	93	62	114	88	35	53	79	85	35	53	68	57
"Fangst av laks, sj�aure og sj�r�ye (kg)"	"S�r-Tverrfjordelva (Tverrfjordvassdraget)"	103	79	219	304	252	227	210	246	223	146	88	228	281	269
"Fangst av laks, sj�aure og sj�r�ye (kg)"	"Jomfrudalselva"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fangst av laks, sj�aure og sj�r�ye (kg)"	"Nuvsfjordelva"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fangst av laks, sj�aure og sj�r�ye (kg)"	"Vassdalsvassdraget"	0	80	69	79	0	0	144	134	115	113	0	6	0	0
"Fangst av laks, sj�aure og sj�r�ye (kg)"	"Bognelva"	31	66	42	30	15	0	27	30	39	22	8	4	4	3
"Fangst av laks, sj�aure og sj�r�ye (kg)"	"Halselva (Vassbotnelva)"	199	250	284	246	407	443	591	631	153	564	101	174	98	133
"Laks i alt (kg)"	"Finnmark i alt"	103585	143497	102771	124801	115807	123474	122207	91312	89872	0	0	0	0	34918
"Laks i alt (kg)"	"Sandlandselva"	2	0	0	0	1	6	0	0	0	2	0	0	3	0
"Laks i alt (kg)"	"S�r-Tverrfjordelva (Tverrfjordvassdraget)"	8	0	24	38	30	26	34	27	35	19	28	8	14	13
"Laks i alt (kg)"	"Jomfrudalselva"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Laks i alt (kg)"	"Nuvsfjordelva"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Laks i alt (kg)"	"Vassdalsvassdraget"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Laks i alt (kg)"	"Bognelva"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Laks i alt (kg)"	"Halselva (Vassbotnelva)"	0	0	0	0	0	3	0	71	19	37	8	9	32	5
"Laks under 3 kg (kg)"	"Finnmark i alt"	32515	46066	31698	44349	40261	31979	32417	32743	29710	0	0	0	0	11073
"Laks under 3 kg (kg)"	"Sandlandselva"	2	0	0	0	1	1	0	0	0	2	0	0	3	0
"Laks under 3 kg (kg)"	"S�r-Tverrfjordelva (Tverrfjordvassdraget)"	2	0	20	29	22	2	1	9	22	12	5	5	6	2
"Laks under 3 kg (kg)"	"Jomfrudalselva"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Laks under 3 kg (kg)"	"Nuvsfjordelva"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Laks under 3 kg (kg)"	"Vassdalsvassdraget"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Laks under 3 kg (kg)"	"Bognelva"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Laks under 3 kg (kg)"	"Halselva (Vassbotnelva)"	0	0	0	0	0	3	0	58	5	15	8	9	20	2
"Laks 3 - 6,9 kg (kg)"	"Finnmark i alt"	30550	44855	36787	42967	40859	47374	37305	30736	28097	0	0	0	0	10863
"Laks 3 - 6,9 kg (kg)"	"Sandlandselva"	0	0	0	0	0	5	0	0	0	0	0	0	0	0
"Laks 3 - 6,9 kg (kg)"	"S�r-Tverrfjordelva (Tverrfjordvassdraget)"	6	0	4	9	8	13	23	18	3	7	23	3	8	11
"Laks 3 - 6,9 kg (kg)"	"Jomfrudalselva"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Laks 3 - 6,9 kg (kg)"	"Nuvsfjordelva"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Laks 3 - 6,9 kg (kg)"	"Vassdalsvassdraget"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Laks 3 - 6,9 kg (kg)"	"Bognelva"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Laks 3 - 6,9 kg (kg)"	"Halselva (Vassbotnelva)"	0	0	0	0	0	0	0	13	14	11	0	0	12	3
